,Zip,City,Latitude,Longitude,Student Count
0,1330,Ashfield,42.521131,-72.81116,147.0
2,1982,South Hamilton,42.616643,-70.86513,1578.0
4,2184,Braintree,42.209555,-70.99968,5805.0
5,1373,South Deerfield,42.472734,-72.62452,1041.0
10,1344,Erving,42.607051,-72.41396,135.0
12,1119,Springfield,42.128442,-72.50932,597.0
13,1523,Lancaster,42.473131,-71.67946,729.0
14,1571,Dudley,42.049864,-71.9173,2464.0
15,1835,Haverhill,42.757767,-71.08518,1591.0
17,1952,Salisbury,42.85048,-70.86153,516.0
18,2032,East Walpole,42.153912,-71.21362,1969.0
19,2134,Allston,42.355147,-71.13164,1348.0
22,1226,Dalton,42.476575,-73.11547,1394.0
23,2333,East Bridgewater,42.029083,-70.95227,2333.0
24,2460,Newtonville,42.352996,-71.20907,4221.0
27,1862,North Billerica,42.573592,-71.2911,810.0
28,1072,Shutesbury,42.486027,-72.42208,131.0
29,1038,Hatfield,42.375155,-72.60832,451.0
32,2777,Swansea,41.741551,-71.21433,2042.0
33,1098,Worthington,42.399054,-72.93871,52.0
36,1240,Lenox,42.36237,-73.27683,746.0
40,1073,Southampton,42.223885,-72.72777,525.0
41,1532,Northborough,42.321917,-71.64692,3205.0
46,1590,Sutton,42.131028,-71.75121,1479.0
49,1949,Middleton,42.602278,-71.01356,719.0
51,1463,Pepperell,42.665686,-71.5929,1133.0
52,2451,Waltham,42.393029,-71.24771,853.0
56,1969,Rowley,42.716708,-70.90899,497.0
57,2121,Boston,42.307448,-71.08127,5576.0
60,2535,Chilmark,41.345578,-70.75145,47.0
61,1027,Easthampton,42.27279,-72.68677,2659.0
63,1128,Springfield,42.095344,-72.48857,1172.0
64,1524,Leicester,42.238942,-71.91908,1607.0
65,1108,Springfield,42.084094,-72.55523,3254.0
68,1104,Springfield,42.130343,-72.57338,4441.0
70,1331,Athol,42.579931,-72.20836,1128.0
71,2668,West Barnstable,41.70631,-70.37048,258.0
73,1109,Springfield,42.116277,-72.55031,8557.0
76,1060,Northampton,42.324539,-72.63561,1966.0
77,2466,Auburndale,42.345833,-71.24735,719.0
78,1013,Chicopee,42.161492,-72.60316,1864.0
79,1337,Bernardston,42.678023,-72.55569,178.0
85,1501,Auburn,42.20361,-71.83843,2484.0
86,1748,Hopkinton,42.220447,-71.53418,3496.0
89,2054,Millis,42.166398,-71.36178,1372.0
90,2670,West Dennis,41.659749,-70.17089,429.0
91,1301,Greenfield,42.605524,-72.60098,2609.0
92,1560,South Grafton,42.177462,-71.69382,317.0
93,1730,Bedford,42.496679,-71.27504,2559.0
94,1983,Topsfield,42.642471,-70.94424,640.0
95,1035,Hadley,42.35549,-72.5733,1054.0
